word,origin,category,root,first_use,history,modern_relatives
bedlam,Old English,Old English,Bethlem (Bethlehem),15th century,"‘Bedlam’ comes from an old corruption of the name ‘Bethlem’, short for the Hospital of Saint Mary of Bethlehem in London. It was founded in 1247, and within a few centuries it was holding the mentally ill in squalid conditions. By the 16th century, the inmates' screaming was constantly in your ear. Incredibly, visitors would come to the hospital to watch the various inmates as if they were at the circus. And from that, 'Bedlam,' the general term for chaotic, noisy disorder, stuck.",
beef,French,French,boeuf (ox),13th century,"In 1066, the language of the ruling English became French, the language of the Norman conquerors, and this split showed up in something as everyday as the food on the table. The peasants on the land owned by the Norman lords were raising the animals that they had always called by their Germanic names: cow, pig, sheep, and deer. The Norman lords ate this cooked meat, but called it by the corresponding French names: beef from boeuf, pork from porc, mutton from mouton, and venison from venaison. This is how English came to have two words for each of these animals, i.e., because there were two different social classes involved in the transaction. The animals belonged to the peasants; the food belonged to the lords.",bovine
berserk,Old Norse,Old Norse,berserkr (bear-shirt),19th century,"The Old Norse berserkr (berserker) were Norse warriors said to fight in a frenzied state, close to madness or trance. They are sometimes depicted wearing bear skins, thus the name bear-shirt (berserkr). Walter Scott adopted the term in his 1822 novel The Pirate, which helped bring it into everyday English use.",
blockbuster,English,Other,blockbuster bomb,1940s,"A term originally used during World War II to describe very large bombs dropped from planes, so big that one could destroy an entire city block. The Royal Air Force used these so-called “blockbusters” during the war in order to destroy German cities. After the war, the term was used by real estate agents to sell houses in white neighborhoods to Black families, in an attempt to “bust” the racial block. In the 1970s, the term was finally transferred to the entertainment industry and is now used to describe very successful films and books that dominate the market.",
bonfire,Old English,Old English,ban (bone) + fyr (fire),15th century,"The medieval bonfire was in fact a bonefire or a banefire (from Middle English banefire). It was a huge outdoor fire set by medieval towns to burn off bones, whether from plague victims, animals, or executed criminals. On midsummer's eve or the anniversary of a saint's day, the ritual fire doubled as a celebration, a reason for the town to gather and mark the occasion. The large fires of the Scottish midsummer fires (or fire festivals) were of this type. Over the centuries, the smell of the fire had faded from consciousness, the spelling of the word had changed, but the party continued.",fire
boycott,English,Other,"Captain Charles Boycott, 1880",1880,"By 1880, the Irish in County Mayo had begun refusing to speak to the Englishman Charles Boycott. He was a collector for a land agent, and they wanted him to cut his rent. By summer's end, newspapers across Europe began using the term for other groups of people who refused to have anything to do with someone.",
bungalow,Hindi,Other,bangla (of Bengal),17th century,"The bungalow originated in Bengal in Northern India. “The Hindi word ""bangla"" means ""of or belonging to Bengal,"" and this low, wide, often thatched building was the common type of house there. It was perfectly suited for the tropical climate of Bengal. British officers who were stationed in Bengal in the 18th century built bungalows for themselves in other parts of the world and called them bungalows. Over time, the word came to mean any normal single-story house with a large porch.",
calculate,Latin,Latin,calculus (small stone),17th century,"Small stones did the math. Romans used calculi (or small stones) on counting tables to add, subtract, and multiply. The Latin word for small pebble was thus transferred to the entire area of mathematics, a discipline later developed by Newton and Leibniz. The word for that mathematical discipline is calculus, and is also found in the word for limestone, calcium.",calculus; calcium; chalk
candidate,Latin,Latin,candidatus (clothed in white),17th century,"Politicians in ancient Rome donned white togas. Candidates would wear a whitened toga, called a toga candida, to the Forum to project an image of honesty and purity. This is where the name candidate comes from.",candid; candor; incandescent
capital,Latin,Latin,caput (head),14th century,"Head, in Latin, is caput. From that one word English gets the head city of a region (capital), the head sum in a bank account (capital), the punishment that removes a head (capital punishment), and even cattle (livestock accounted ""per head""). Every meaning radiates from the same body part.",chief; chapter; captain; cattle; decapitate
carnival,Latin,Latin,carne vale (farewell to meat),16th century,"Carnival means farewell to meat. Italian carnevale from medieval Latin carne vale marked the last feast before the 40-day Lenten fast, and Venice made the party notorious with masks and days of excess. The name of the last night out became the name of the whole tradition.",carnivore; carnal; incarnate
catastrophe,Greek,Greek,kata- (down) + strephein (to turn),16th century,"In Greek drama, the catastrophe was the final act: the decisive downward turn of the story. Kata- (down) plus strephein (to turn). The word carried the sense of a reversal of fortune long before it narrowed to disaster in modern English.",apostrophe; strophe
cereal,Latin,Latin,Ceres (goddess of grain),19th century,"Ceres was the Roman goddess of grain, agriculture, and childbirth (equivalent to Greek Demeter). Latin cerealis meant ""of Ceres,"" and English kept the word for grain plants in the early 19th century. The breakfast-food sense came later, courtesy of American food companies in the 1890s.",
chaos,Greek,Greek,"khaos (abyss, void)",15th century,"Before anything else, in Greek cosmology, there was Chaos. Hesiod's Theogony describes it as a yawning void from which the first gods emerged. Khaos in Greek meant chasm or gap, not disorder. The modern sense of jumbled confusion grew out of the void image over centuries.",chasm
chocolate,Nahuatl,Other,xocolatl (bitter water),17th century,"Chocolate started bitter and cold. The Aztecs mixed xocolatl (from xococ, ""bitter,"" plus atl, ""water"") with chili peppers and ground corn, and drank it as a ritual beverage. Spanish conquistadors brought it back to Europe in the 16th century, where cooks added sugar and heat. What arrived as a ceremonial drink left as dessert.",
circus,Latin,Latin,"circus (circle, ring)",16th century,"Directly from Latin circus, meaning 'ring' or 'circle.' In ancient Rome, the Circus Maximus was a massive oval stadium for chariot races and public spectacles. The modern traveling circus with acrobats and animals adopted the name in the 18th century.",circle; circuit; circa; circular
cliché,French,French,clicher (to stereotype),19th century,"Cliché is a printing sound. When early French typesetters cast a stereotype (a solid metal plate of frequently used phrases), the molten lead made a distinctive click on the mold, and clicher was the verb for producing that plate. Any phrase pre-cast and reused was a cliché. Writers took the metaphor and never gave it back.",
clue,Old English,Old English,clew (ball of yarn),Old English,"In Greek myth, Ariadne handed Theseus a ball of yarn as he entered the Labyrinth. He tied one end near the door, unspooled the rest as he walked, killed the Minotaur, and followed the thread back out. Old English cleowen (""ball of yarn"") is that ball. By the 16th century, any piece of evidence that guided you toward the answer was a clue.",
coffee,Arabic,Arabic,qahwa (wine of the bean),16th century,"Coffee started in the Ethiopian highlands, moved to Yemen, and became the drink of choice for Sufi monks who needed to stay awake through long night prayers. Arabic qahwa originally meant wine, then transferred to the dark, bitter, stimulating brew made from roasted beans. It reached Europe by way of Ottoman Istanbul in the 17th century and turned the West's daily habits upside down within a hundred years.",café; caffeine
companion,Latin,Latin,com- (with) + panis (bread),13th century,"A companion, literally, is someone you share bread with. Late Latin companio joined com- (with) and panis (bread), and originally named the soldier who ate from the same ration in the same unit. The bond of shared food is baked into the word.",company; accompany; pantry
cotton,Arabic,Arabic,qutn (cotton),14th century,"Cotton grew in India, was cultivated across the Arab world, and reached medieval Europe through Arab merchants who dominated the trade for centuries. The Arabic name qutn travelled with the fibers. Every European language borrowed the word intact: cotton, coton, cotone, algodón (Spanish keeping the al- article).",
curfew,French,French,couvre-feu (cover the fire),13th century,"Curfew literally means ""cover the fire."" Old French cuevre-feu was the evening bell that told medieval townspeople to bank or extinguish their hearth fires before bed, a fire-safety rule for a world built mostly of wood. William the Conqueror imposed the practice in England in 1068. The bell disappeared. The word stayed.",
democracy,Greek,Greek,demos (people) + kratos (power),16th century,"Fifth-century Athens invented a word for its new political system: demokratia, from demos (the people) and kratos (power). The Athenian version excluded women, slaves, and foreigners, but the name outlived the arrangement, and 2,500 years of debate have kept trying to fill it in.",pandemic; epidemic; aristocracy; bureaucracy
disaster,Italian,Other,dis- (bad) + astro (star),16th century,"A disaster is literally a bad star: Italian disastro (dis-, ""bad,"" plus astro, ""star"") recorded the medieval belief that unfavorable planetary alignments caused catastrophes on Earth.", literally 'bad star.' Medieval astrologers believed that the positions of stars and planets directly caused catastrophic events on Earth. An unfavorable celestial alignment was a 'bad star' event, a disaster. The same belief gives us 'ill-starred.',astrology; astronomy; asterisk
disease,French,French,des- (not) + aise (ease),14th century,"Disease used to mean discomfort. Old French desaise, literally ""not at ease,"" covered any awkward or unpleasant condition, not necessarily an illness. Medical writers narrowed the meaning to bodily complaints during the late medieval period, and by the 16th century the older sense had faded. English kept the general ""ill at ease"" idea in ""unease"" instead.",ease; uneasy
dunce,Proper name,Other,John Duns Scotus (1266–1308),16th century,"Named after John Duns Scotus, a brilliant medieval philosopher whose 'Dunsmen' followers dominated European universities. Renaissance humanists mocked the Dunsmen as hopelessly rigid and backward-looking, making 'Duns' an insult for anyone resistant to new learning. A follower of the genius Duns Scotus became synonymous with stupidity, one of history's crueler ironies.",
egg,Old Norse,Old Norse,egg (egg),14th century,"Old English had the word ey for egg, but Norse settlers in northern England used egg. For centuries, the two words coexisted in different parts of England, a source of genuine confusion. William Caxton complained in 1490 that a merchant in Kent could not buy eggs because the local word was still ey. Norse egg eventually won everywhere.",
genuine,Latin,Latin,genu (knee),16th century,"Possibly from Latin genu (knee), referring to the ancient Roman custom of a father acknowledging a newborn child as his own by placing it on his knee. A child so acknowledged was 'genuine', truly the father's own. Alternative theories trace it to Latin genus (birth, race).",genus; generate; gender
glamour,Scottish,Other,grammar (occult knowledge),18th century,"A Scottish variant of 'grammar.' In medieval times, literacy and learning were associated with magic, only learned scholars and clergy could read, and their knowledge seemed supernatural to the illiterate majority. 'Grammar' came to mean occult knowledge in Scottish dialects, and 'glamour' was the enchantment cast by such magic. It later shifted to mean worldly enchantment and allure.",grammar; grimoire
grotesque,French,French,"grotta (cave, grotto)",16th century,"In the late 15th century, Renaissance excavators broke into the buried rooms of Nero's Domus Aurea in Rome. They called the underground chambers grotte (""caves""). The wall paintings inside were unlike anything else surviving from antiquity: humans merging into plants, animals growing out of vines, small monsters everywhere. Italian artists imitated the style and named it grottesca, ""cave-style,"" and any bizarre or distorted form has been grotesque ever since.",grotto; crypt
gymnasium,Greek,Greek,gymnos (naked),16th century,"Ancient Greek athletes trained naked. Gymnasion meant ""a place for exercising,"" from gymnos (naked), and the practice was both practical (nothing to catch or tear) and symbolic (nothing to distinguish rich from poor). Modern German still uses the word for academic high schools; modern English uses it for the room where people wear far more clothing than the Greeks did.",gymnastics; gymnast
hazard,Arabic,Arabic,az-zahr (the dice),13th century,"Hazard was a dice game. Crusaders picked it up from Arab merchants in the Levant, where az-zahr meant ""the die,"" and brought it back to Europe. The game was risky enough that its name absorbed the meaning: any chancy situation became a hazard. Modern casino craps is a direct descendant of medieval hazard, with the same word buried in its rules.",hazardous
hurricane,Taino,Other,huracán (god of the storm),16th century,"Huracán was the storm god of the Taino people of the Caribbean. When Spanish explorers first met an Atlantic tropical cyclone in the late 15th century, they took the god's name for the storm and carried it back to Europe. The Taino themselves were nearly wiped out by colonization, but their words for the region's realities (hurricane, hammock, canoe, barbecue) stayed in English.",
inaugurate,Latin,Latin,augur (diviner of omens),17th century,"Roman augurs watched birds. A new office, a battle, a temple, none of it could begin until they had studied the flight, feeding, and songs of birds for the will of the gods. Inaugurare meant ""to take those omens first,"" and every modern inauguration is technically still asking the birds' permission.",augur; augment; august
jungle,Hindi,Other,"jangal (wasteland, forest)",18th century,"The word ‘jungle’ originally meant a wasteland or uncultivated country, such as scrubby dry ground. In Hindi, the word for this is jangal, derived from the Sanskrit word jangala. British officers in India describing struggles against dense tropical vegetation sent the word home with the reverse connotation, so that today in English imagination the word represents a dense, dangerous, very green piece of country. It is a British colonial creation.",
ketchup,Chinese,Other,kê-tsiap (brine of pickled fish),18th century,"English ketchup originally contained no tomatoes. The name of this condiment comes from the Hokkien Chinese expression kê-tsiap or the Malay expression kicap. These terms refer to a salty fish or shellfish sauce that was brought to Asia by British sailors in the 17th century. In England, the sauce was made by cooks using mushrooms, walnuts, and anchovies. It was not until the early 19th century in America that tomatoes were added to the recipe.",
magazine,Arabic,Arabic,makhazin (storehouses),16th century,"For a long time, a magazine was a storehouse. Arabic has makhazin (plural of makhzan), meaning ""treasury"" or ""warehouse"". The word came into English from French and Italian, and at first it denoted an arsenal, a storehouse of gunpowder, weapons, or ammunition: gunpowder magazines, weapon magazines, ammunition magazines. Printers of the 18th century sometimes described their periodicals as magazines for ‘miscellaneous articles’ or simply as a storehouse of writings. Today, guns still use the term ""magazine"" to refer to their ammunition magazines.",
manufacture,Latin,Latin,manus (hand) + facere (to make),16th century,"Originally, the word ""manufacture"" referred to ""handmade,"" or anything made by hand. It comes from the Latin words 'manus' (hand) and 'factura' (a making). This was coined in the English dictionary in the 16th century to describe items made by artisans or craftsmen. It was only much later (mid-1700s), when the Industrial Revolution moved production into factories run by machines rather than hands, that ""manufactured"" came to mean the opposite of ""handmade."" Today, the word 'manufacture' refers to factories producing products using machines rather than by hand.",manual; factory; artifact; facility
marathon,Greek,Greek,Marathonos (place name),19th century,"In 490 BC, on a plain northeast of Athens, a much smaller Greek army defeated the Persian invasion force at the Battle of Marathon.  According to legend, the Greek soldier Pheidippides ran from Marathon to Athens to announce the Greek victory to the citizens of Athens and then collapsed and died of exhaustion. This legendary run was commemorated at the revival of the modern Olympic Games in 1896 with a race of approximately 26 miles and 385 yards (42.195 kilometers) on the plain at Marathon, and it has since become the Marathon.",
mattress,Arabic,Arabic,matrah (place where something is thrown),13th century,"Crusaders returning from the Holy Land brought back a piece of Arab bedding, cushions or padded mats laid on the floor, that was substantially more comfortable than European straw. The Arabic name for the object was matrah (from taraha, ""to throw down""), literally ""a place where something is thrown or laid down."" Europeans kept the word for the pad. The floor part was quietly upgraded to a frame.",
meander,Greek,Greek,Maiandros (a river in Turkey),16th century,"The Maiandros River in western Turkey flows in a series of winding curves, and the name has become synonymous with any winding path or route. The unique bends of the Maiandros were studied by the ancient Greek geometers, and the elaborate curves were used by Roman decorators designing key-pattern borders. That same river and its name survive today, still used across many languages to describe a winding path.",
mentor,Greek,Greek,Mentor (character in the Odyssey),18th century,"The term ‘mentor’ comes from Odysseus, the star of Homer’s epic, the Odyssey. The hero, off fighting in the Trojan War, had entrusted his household to his friend Mentor, and later Athena, the goddess, would often appear as Mentor to the old man's young son. François Fénelon wrote a novel called The Adventures of Telemachus in 1699, and by the 18th century ‘mentor’ became the English word for a guide, guardian, or instructor.",
money,Latin,Latin,Moneta (title of Juno),14th century,"The Roman mint was situated in the temple of Juno Moneta on the Capitoline Hill. The coins which the mint struck bore the title of that goddess, and thus, from the temple of Juno Moneta, her title was translated into Old French moneie, English money.",mint; monetary; monitor
mortgage,French,French,mort (dead) + gage (pledge),14th century,"As Pottie points out, mortgage is an old pledge that dies, either when the debtor pays the loan off, or when the property is forfeited to the creditor in case of default. It is thus a dead pledge, or a “dead” loan as Pottie says; in other words, a small tomb for every homeowner.",mortuary; mortal; amortize
muscle,Latin,Latin,musculus (little mouse),14th century,"The muscle was given the form of a small mouse by the Romans. Hence the Latin term for muscle, musculus (little mouse). Mussel is derived from the same word, via the notion of a mouse curled up in the shell of a mussel.",mussel
music,Greek,Greek,Mousa (the Muses),13th century,"From Greek mousike, 'art of the Muses.' The nine Muses were Greek goddesses who presided over arts and sciences. Mousike originally covered poetry, dance, and song together, all arts inspired by the Muses. The modern narrowing to organized sound came through Latin and Old French.",museum; muse; mosaic
naive,French,French,"naïf (natural, unaffected)",17th century,"For a long time naïve meant natural, unspoiled, unaffected. In the 17th century, writers even praised the unforced simplicity of the native, the child, in descriptions of peasants. It took two centuries for the meaning to change to inexperienced, and then gullible. The two dots in the i tell you that, in French, naïf and naïve are pronounced with two vowels separately.",native; nativity
narcissism,Greek,Greek,Narkissos (mythological youth),19th century,"The myth of Narcissus, a handsome youth who fell in love with his own reflection in a pool and faded away, has been around for a long time. A narcissus flower grew from where he died. Sigmund Freud borrowed this ancient myth in 1914 when he coined the term for a particularly self-absorbed personality type: the narcissus is even younger than the word.",narcissus; narcotic
nice,Latin,Latin,nescius (ignorant),13th century,"English words like 'nice' have changed much in meaning over the centuries. One of the biggest changes has been in the word ""nice"", which went from a negative meaning to a positive one. It originated from the Latin nescius, meaning 'ignorant' or 'unaware', and in Old French the word nice was used to describe someone who was 'foolish' or 'silly', basically an insult. By the 14th century, the connotation had shifted somewhat to describe someone ‘wanton’ or ‘lascivious’, while by the 15th century the word described someone ‘coy’ or ‘shy’. A century later, the word nice evolved to describe someone 'refined' and 'precise' in nature. By the 18th century, it had settled on the most commonly used definition today of 'agreeable' and 'pleasant'. The word has undergone a very impressive change from ‘stupid’ to ‘good’ over a 5 century period.",
nightmare,Old English,Old English,niht (night) + mare (evil spirit),13th century,"A mare was once a female demon, not a female horse. In Germanic and Norse folklore, a mære would lie on the chests of sleepers, causing them to choke to death from extreme fear; a niht-mære was a night goblin. There is a striking spelling coincidence between this and the word for female horses. It was once called “incubus” in the Middle Ages for centuries before it got a modern medical name.",
palace,Latin,Latin,"Palatium (Palatine Hill, Rome)",13th century,"It was here that the first of Rome’s seven hills, the Palatine, was to become the home of Augustus and subsequent emperors, and thus give its name to the term for grand residence in Europe – a Palace.",palatial
panic,Greek,Greek,Pan (god of wild places),17th century,"The god Pan lived in forests and mountains, and if you woke him from his midday nap he made you afraid. Greeks called that sudden, causeless terror panikon, ""of Pan."" Every mass fright of unclear origin was Pan's doing. ""Panic attack"" still carries the god's fingerprint.",pandemonium
paradise,Greek,Greek,pairidaeza (walled garden),12th century,"From the Garden Wall to Paradise. The medieval concept of Paradise was a walled garden, in which exotic animals and plants were kept by Persian kings in walled parks called pairidaeza (from pairi, around, plus daeza, wall), later Paradise in Greek paradeisos.",
philosophy,Greek,Greek,philos (loving) + sophia (wisdom),13th century,"He called himself a “lover of wisdom” (philosophos in Greek) and refused to be referred to as a wise man, as this person would possess wisdom, whereas the love of wisdom is something that you search for.",philosophy; sophisticated; sophomore
photograph,Greek,Greek,phos (light) + graphe (drawing),19th century,"Photograph: from Greek phos/photos (light) + graphein (to write or draw). The term for a photograph was coined by British scientist John Herschel in 1839 and is literally ‘writing with light’. The inventor of photography, Herschel, also introduced other photographic terms to the scientific community, such as positive, negative and snapshot. The Greek-root compound system allows scientists to make full and descriptive reference to their latest inventions.",photography; photon; photosynthesis; graphic; biography
pork,French,French,porc (pig),13th century,"Pork. The term comes from Old French porc (pig). As with beef, the basic term for pig or swine was retained by English-speaking peasants of Germanic stock, while nobles of French stock referred to the meat they ate. “Pork barrel” is an Americanism from the politics of that country.",porpoise; porcupine
propaganda,Latin,Latin,"propagare (to propagate, spread)",17th century,"The word Propaganda comes from the Catholic missionary committee that was established by Pope Gregory XV in 1622, called the Congregatio de Propaganda Fide, or the committee for the propagation of the faith in contested territories. It was a term for organized persuasion, and it acquired a rather darker complexion in the 20th century after two wars of massive state propaganda.",propagate; propagation
quarantine,Italian,Other,quarantina (40 days),14th century,"The Venetians invented quarantine. To keep the Black Death from entering their city, they had ships anchoring offshore for forty days (quaranta giorni in Italian). The forty days came from the length of time of the flood and the forty years of the Israelites’ wandering in the desert. We know it today under the shorter name.",quadrant; quarter
quiz,Unknown,Other,possibly Qui-es or Who are you?,18th century,"The origin of the word quiz is unknown. A Dublin legend has it that in 1791 a theater owner made a pact to coin a word by breakfast, scrawled ‘quiz’ all over the town, and by morning won his wager. This etymology, however, is unsubstantiated. The most popular solution is that quiz comes from the Latin quis (who), or that it is a truncated form of inquisition. One of the few real mysteries of the etymology of English.",
restaurant,French,French,restaurer (to restore),19th century,"Parisian restaurants, which opened in the mid 1760s, first served restorative broths. Upper-class people would go to these restaurants to eat an invigorating soup instead of a full meal. The French verb restaurer (to restore) is the root of the word restaurant, and by the end of the 19th century it denoted a place where individual dishes were served. The healing quality of the original bouillon had by then been lost.",restore; restoration
rival,Latin,Latin,rivalis (sharing a stream),16th century,"Since farmhands on the same stream could be at odds with each other for the water, the Latin for “one who uses the same stream” is rivalis, “stream-user,” from rivus, “stream.” The particular type of quarrel over use of the same water became the general term for competing with anyone over anything.",river; derive; arrive
robot,Czech,Other,"robota (forced labor, drudgery)",1920,"The Czech word for forced labor is robota. The term Robot was apparently coined by Czech writer Karel Čapek in his 1920 play R.U.R. (Rossum's Universal Robots) together with his brother Josef, who suggested the title over coffee in a café in Prague.",
sabotage,French,French,sabot (wooden shoe),20th century,"Sabots are wooden shoes. French factory workers wore them, and during labor disputes in the early 20th century they were said to jam the shoes into machinery to shut down production. Whether that ever actually happened is disputed, but ""to work like you are wearing sabots"" (clumsily, slowly, with intent) gave French saboter and English sabotage.",
salary,Latin,Latin,sal (salt),14th century,"Salary is a Latin word for salt money: Roman soldiers were paid a salarium so they could buy salt, and the phrase ""worth his salt"" is 2,000 years old.",salad; sauce; salsa; brine
sandwich,Proper name,Other,"John Montagu, 4th Earl of Sandwich",18th century,"John Montagu, 4th Earl of Sandwich, was a heavy gambler. Around 1762 he reportedly asked his servants to bring him meat between two slices of bread so he would not have to leave the card table. Whether the story is true or invented by his critics, his title stuck to the food and travelled into every European language.",
school,Greek,Greek,"skhole (leisure, discussion)",Old English,"School was a form of leisure time. The Greek word for school, skhole, referred to time away from work to pursue one’s interests and have free time to discuss topics of interest with fellow citizens. People with others to work for them were the first to have such time, so education became a luxury of the free-born. We still use the word to connote that sense of leisure.",scholar; scholastic
serendipity,English,Other,Serendip (old name for Sri Lanka),18th century,"Serendipity was invented by Horace Walpole in a letter of 28 January 1754. The name Serendip comes from an old Persian name for Sri Lanka, used in a fairy tale about three princes who very quickly and very cleverly solved problems that cropped up through sheer good luck. The English word describes happy discoveries by chance that the discoverer did not have in his or her sight. It is one of the very few English words with a documented birthday and an inventor. This one has both.",
shampoo,Hindi,Other,"chāmpo (press, knead)",18th century,"Shampoo was a head massage before it was a bottle. Hindi chāmpo (""press, knead"") was the imperative of chāmpnā, and Indian bathhouses offered the scalp pressing as a service. British colonists in the 18th century brought the word home for the massage itself. The hair-washing sense only attached in the 19th century, when soaps for it started being sold under the name.",
silhouette,French,French,Étienne de Silhouette (French minister),18th century,"Étienne de Silhouette (1709–1767) was the infamous cheap French Controller-General of Finances. In 1759, he cut spending to the bone as Finance Minister, earning Silhouette a most unfortunate association with all things cheap. It was black cutout silhouettes of profile portraits, installed in hallways or other areas as very cheap substitutes for real paintings, that earned the term.",
silly,Old English,Old English,"sælig (blessed, happy)",13th century,"In Old English, sælig was a highly positive term that translated as blessed, happy, fortunate. By the time Middle English had rolled around in the 1300s or so, the term had taken on a rather more complex set of meanings, including pious or innocent. In 15th century usage, however, this innocent state was recognized as naive or even simple. And by the 16th century, or so, it had come to mean the opposite of all these: foolish. That is to say, the word, which had once denoted someone who was blessed by the divine, had, in the space of 500 or so years, gone into reverse.",
sincere,Latin,Latin,sincerus (pure); 'sine cera' story is folk etymology,16th century,"Sincerus: From Latin sincerus, pure or unmixed. The story that work done honestly is work “without wax” is a piece of folk etymology passed down for centuries. Although it makes a nice story that dishonest sculptors hid flaws in their marble with wax, it is not found in any Roman writings. The etymologists of today are of the opinion that sincerus comes from the Proto-Indo-European roots sem- (one) and ker- (grow). The wax story is famous because it is so memorable, not because it was ever documented.",wax
sky,Old Norse,Old Norse,ský (cloud),13th century,"Sky used to mean cloud. Old English had a serviceable word for the heavens (heofon, ""heaven""), but Norse settlers in the 9th century brought ský (""cloud"") with them, and the word migrated upward: from the clouds to the whole vault above the clouds. Heofon retreated into religion. Sky took over the weather.",
slogan,Gaelic,Other,sluagh-ghairm (army shout),16th century,"Slogans started as war cries. Scottish Highland clans shouted a family sluagh-ghairm (""army shout"" in Gaelic) as they charged into battle, and English writers who encountered these cries during the Jacobite conflicts of the 17th and 18th centuries anglicized the word. By the 19th century a slogan was a striking phrase for advertising or politics, still meant to be shouted, still meant to move a crowd.",
tantalize,Greek,Greek,Tantalos (mythological king),19th century,"Named after Tantalus, a king in Greek mythology who offended the gods and was punished in Hades by being made to stand in a pool of water beneath fruit trees. When he reached for the fruit, branches pulled away; when he bent to drink, the water receded. His name gave English the verb 'tantalize', to tease with something desirable just out of reach.",
tariff,Arabic,Arabic,"ta'rifa (notification, schedule of fees)",16th century,"From Arabic ta‘rifa, ‘notification’ or ‘inventory of fees’ (from arrafa, ‘to notify’). The word entered European languages through contact with Arab merchants in the Mediterranean. In this sense, a tariff was an inventory of charges, or a list of duties, posted in markets or at the harbors of towns, and thus constituted an official notification of the rates of charges to be paid on particular articles.",
telephone,Greek,Greek,tele (far) + phone (voice),19th century,"Coined in the 19th century from Greek tele (far off) + phone (voice, sound). The elements were classical Greek but the compound word was new, invented to name a new technology for transmitting voice over distances. Alexander Graham Bell registered the patent in 1876. Many scientific coinages of the 19th–20th centuries follow this pattern of Greek-root compounds.",television; telegram; phonetics; microphone
