date,word,pos,pronunciation,difficulty,definition,explanation,example,memory,quiz,answer,prompt
2026-04-03,Elucidate,verb,e-lu-ci-DATE,medium,to make something clear by explaining,Elucidate is a verb meaning to make something clear by explaining. Use it when that meaning is exactly what you need in writing or speech.,The professor tried to elucidate the theory with a simple chart.,from lucidus — clear,"What does ""elucidate"" mean?",To make something clear by explaining.,"Give students 60 seconds to use ""elucidate"" in an original sentence that shows it means ""to make something clear by explaining""."
2026-04-04,Bombastic,adjective,bom-bas-TIC,hard,using grand or showy language with little real meaning,Bombastic is an adjective meaning using grand or showy language with little real meaning. Use it when that meaning is exactly what you need in writing or speech.,His bombastic speech impressed no one in the room.,from bombyx — silk padding,"What does ""bombastic"" mean?",Using grand or showy language with little real meaning.,"Give students 60 seconds to use ""bombastic"" in an original sentence that shows it means ""using grand or showy language with little real meaning""."
2026-04-05,Emulate,verb,em-u-LATE,medium,to try to equal or copy someone admired,Emulate is a verb meaning to try to equal or copy someone admired. Use it when that meaning is exactly what you need in writing or speech.,Young athletes often emulate their favorite stars.,from aemulari — to rival,"What does ""emulate"" mean?",To try to equal or copy someone admired.,"Give students 60 seconds to use ""emulate"" in an original sentence that shows it means ""to try to equal or copy someone admired""."
2026-04-06,Principle,noun,PRIN-suh-puhl,easy,a basic rule or belief that guides action,Principle is a noun meaning a basic rule or belief that guides action. Use it when that meaning is exactly what you need in writing or speech.,Fair citation is a principle we use in every research paper.,A principle is a rule you stand on.,"What does ""principle"" mean?",A basic rule or belief that guides action.,"Give students 60 seconds to use ""principle"" in an original sentence that shows it means ""a basic rule or belief that guides action""."
2026-04-07,Enigma,noun,e-nig-MA,medium,a person or thing that is mysterious,Enigma is a noun meaning a person or thing that is mysterious. Use it when that meaning is exactly what you need in writing or speech.,His sudden disappearance remained an enigma for years.,from ainigma — riddle,"What does ""enigma"" mean?",A person or thing that is mysterious.,"Give students 60 seconds to use ""enigma"" in an original sentence that shows it means ""a person or thing that is mysterious""."
2026-04-08,Cacophony,noun,ca-coph-o-NY,hard,"a harsh mix of loud, unpleasant sounds","Cacophony is a noun meaning a harsh mix of loud, unpleasant sounds. Use it when that meaning is exactly what you need in writing or speech.",A cacophony of horns rose from the gridlocked intersection.,from kakos + phone — bad sound,"What does ""cacophony"" mean?","A harsh mix of loud, unpleasant sounds.","Give students 60 seconds to use ""cacophony"" in an original sentence that shows it means ""a harsh mix of loud, unpleasant sounds""."
2026-04-09,Espouse,verb,es-POUSE,medium,to support an idea or cause,Espouse is a verb meaning to support an idea or cause. Use it when that meaning is exactly what you need in writing or speech.,The mayor began to espouse stricter clean-air rules.,from espouser — to marry,"What does ""espouse"" mean?",To support an idea or cause.,"Give students 60 seconds to use ""espouse"" in an original sentence that shows it means ""to support an idea or cause""."
2026-04-10,Range,noun,RAYNJ,easy,the set of things included between limits,Range is a noun meaning the set of things included between limits. Use it when that meaning is exactly what you need in writing or speech.,"The essay covers a range of causes, from funding to training.",Range is how wide the set is.,"What does ""range"" mean?",The set of things included between limits.,"Give students 60 seconds to use ""range"" in an original sentence that shows it means ""the set of things included between limits""."
2026-04-11,Role,noun,ROHL,easy,the function or part someone or something has,Role is a noun meaning the function or part someone or something has. Use it when that meaning is exactly what you need in writing or speech.,Evidence plays a central role in a convincing argument.,Role is the job something does.,"What does ""role"" mean?",The function or part someone or something has.,"Give students 60 seconds to use ""role"" in an original sentence that shows it means ""the function or part someone or something has""."
2026-04-12,Ethereal,adjective,e-the-re-AL,medium,"light, delicate, and seemingly from another world","Ethereal is an adjective meaning light, delicate, and seemingly from another world. Use it when that meaning is exactly what you need in writing or speech.",Her ethereal voice filled the cathedral.,from aither — upper air,"What does ""ethereal"" mean?","Light, delicate, and seemingly from another world.","Give students 60 seconds to use ""ethereal"" in an original sentence that shows it means ""light, delicate, and seemingly from another world""."
2026-04-13,Euphoria,noun,eu-pho-ri-A,medium,a feeling of intense happiness,Euphoria is a noun meaning a feeling of intense happiness. Use it when that meaning is exactly what you need in writing or speech.,He felt a brief euphoria after crossing the finish line.,from euphoros — well bearing,"What does ""euphoria"" mean?",A feeling of intense happiness.,"Give students 60 seconds to use ""euphoria"" in an original sentence that shows it means ""a feeling of intense happiness""."
2026-04-14,Cajole,verb,ca-JOLE,hard,to coax someone gently into doing something,Cajole is a verb meaning to coax someone gently into doing something. Use it when that meaning is exactly what you need in writing or speech.,He had to cajole his sister into joining the road trip.,from cajoler — to chatter like a jay,"What does ""cajole"" mean?",To coax someone gently into doing something.,"Give students 60 seconds to use ""cajole"" in an original sentence that shows it means ""to coax someone gently into doing something""."
2026-04-15,Exacerbate,verb,ex-ac-er-BATE,medium,to make a bad situation worse,Exacerbate is a verb meaning to make a bad situation worse. Use it when that meaning is exactly what you need in writing or speech.,Heavy rain only exacerbated the flooding problem.,from exacerbare — to irritate,"What does ""exacerbate"" mean?",To make a bad situation worse.,"Give students 60 seconds to use ""exacerbate"" in an original sentence that shows it means ""to make a bad situation worse""."
2026-04-16,Significant,adjective,sig-NIF-uh-kuhnt,easy,important enough to be worth noticing,Significant is an adjective meaning important enough to be worth noticing. Use it when that meaning is exactly what you need in writing or speech.,The most significant change was a clearer topic sentence.,Significant means it matters.,"What does ""significant"" mean?",Important enough to be worth noticing.,"Give students 60 seconds to use ""significant"" in an original sentence that shows it means ""important enough to be worth noticing""."
2026-04-17,Expedient,adjective,ex-pe-di-ENT,medium,"convenient and useful, even if not entirely fair","Expedient is an adjective meaning convenient and useful, even if not entirely fair. Use it when that meaning is exactly what you need in writing or speech.",It was expedient to drop the topic before tempers flared.,from expedire — to free the feet,"What does ""expedient"" mean?","Convenient and useful, even if not entirely fair.","Give students 60 seconds to use ""expedient"" in an original sentence that shows it means ""convenient and useful, even if not entirely fair""."
2026-04-18,Capricious,adjective,ca-pri-CIOUS,hard,changing suddenly without clear reason,Capricious is an adjective meaning changing suddenly without clear reason. Use it when that meaning is exactly what you need in writing or speech.,The capricious weather ruined our outdoor wedding plans.,from caper — goat,"What does ""capricious"" mean?",Changing suddenly without clear reason.,"Give students 60 seconds to use ""capricious"" in an original sentence that shows it means ""changing suddenly without clear reason""."
2026-04-19,Extol,verb,ex-TOL,medium,to praise highly,Extol is a verb meaning to praise highly. Use it when that meaning is exactly what you need in writing or speech.,Reviewers continued to extol the chef's bold use of spice.,from extollere — to lift up,"What does ""extol"" mean?",To praise highly.,"Give students 60 seconds to use ""extol"" in an original sentence that shows it means ""to praise highly""."
2026-04-20,Similar,adjective,SIM-uh-ler,easy,"almost the same, but not identical","Similar is an adjective meaning almost the same, but not identical. Use it when that meaning is exactly what you need in writing or speech.",The two poems are similar in tone but different in setting.,"Similar means close, not a copy.","What does ""similar"" mean?","Almost the same, but not identical.","Give students 60 seconds to use ""similar"" in an original sentence that shows it means ""almost the same, but not identical""."
2026-04-21,Specific,adjective,spuh-SIF-ik,easy,exact and clearly identified,Specific is an adjective meaning exact and clearly identified. Use it when that meaning is exactly what you need in writing or speech.,"Replace ""stuff"" with a specific noun the reader can picture.",Specific means name the exact thing.,"What does ""specific"" mean?",Exact and clearly identified.,"Give students 60 seconds to use ""specific"" in an original sentence that shows it means ""exact and clearly identified""."
2026-04-22,Extraneous,adjective,ex-tra-ne-OUS,medium,not essential or relevant,Extraneous is an adjective meaning not essential or relevant. Use it when that meaning is exactly what you need in writing or speech.,He cut extraneous details to keep the essay focused.,from extraneus — external,"What does ""extraneous"" mean?",Not essential or relevant.,"Give students 60 seconds to use ""extraneous"" in an original sentence that shows it means ""not essential or relevant""."
2026-04-23,Fathom,verb,fath-OM,medium,to understand something deeply,Fathom is a verb meaning to understand something deeply. Use it when that meaning is exactly what you need in writing or speech.,He could not fathom why she left without saying goodbye.,from Old English faethm — outstretched arms,"What does ""fathom"" mean?",To understand something deeply.,"Give students 60 seconds to use ""fathom"" in an original sentence that shows it means ""to understand something deeply""."
2026-04-24,Castigate,verb,cas-ti-GATE,hard,to scold or criticize severely,Castigate is a verb meaning to scold or criticize severely. Use it when that meaning is exactly what you need in writing or speech.,The editor castigated the reporter for missing the deadline.,from castigare — to correct,"What does ""castigate"" mean?",To scold or criticize severely.,"Give students 60 seconds to use ""castigate"" in an original sentence that shows it means ""to scold or criticize severely""."
2026-04-25,Fervent,adjective,fer-VENT,medium,showing very strong feeling,Fervent is an adjective meaning showing very strong feeling. Use it when that meaning is exactly what you need in writing or speech.,She made a fervent plea for more school funding.,from fervere — to boil,"What does ""fervent"" mean?",Showing very strong feeling.,"Give students 60 seconds to use ""fervent"" in an original sentence that shows it means ""showing very strong feeling""."
2026-04-26,Structure,noun,STRUHK-cher,easy,the way parts are organized into a whole,Structure is a noun meaning the way parts are organized into a whole. Use it when that meaning is exactly what you need in writing or speech.,A compare-and-contrast structure kept the essay easy to follow.,Structure is the skeleton of the writing.,"What does ""structure"" mean?",The way parts are organized into a whole.,"Give students 60 seconds to use ""structure"" in an original sentence that shows it means ""the way parts are organized into a whole""."
2026-04-27,Flagrant,adjective,fla-GRANT,medium,openly and shockingly wrong,Flagrant is an adjective meaning openly and shockingly wrong. Use it when that meaning is exactly what you need in writing or speech.,The referee called a flagrant foul on the play.,from flagrare — to burn,"What does ""flagrant"" mean?",Openly and shockingly wrong.,"Give students 60 seconds to use ""flagrant"" in an original sentence that shows it means ""openly and shockingly wrong""."
2026-04-28,Circumspect,adjective,cir-cum-SPECT,hard,careful to consider all consequences,Circumspect is an adjective meaning careful to consider all consequences. Use it when that meaning is exactly what you need in writing or speech.,A diplomat must be circumspect in every public statement.,from circumspicere — to look around,"What does ""circumspect"" mean?",Careful to consider all consequences.,"Give students 60 seconds to use ""circumspect"" in an original sentence that shows it means ""careful to consider all consequences""."
2026-04-29,Genial,adjective,ge-ni-AL,medium,friendly and cheerful,Genial is an adjective meaning friendly and cheerful. Use it when that meaning is exactly what you need in writing or speech.,Their genial host made everyone feel welcome.,from genialis — festive,"What does ""genial"" mean?",Friendly and cheerful.,"Give students 60 seconds to use ""genial"" in an original sentence that shows it means ""friendly and cheerful""."
2026-04-30,Analyze,verb,AN-uh-lize,easy,to examine the parts of something to understand it,Analyze is a verb meaning to examine the parts of something to understand it. Use it when that meaning is exactly what you need in writing or speech.,Analyze the image by naming what you see before you guess the message.,Analyze means take it apart to understand it.,"What does ""analyze"" mean?",To examine the parts of something to understand it.,"Give students 60 seconds to use ""analyze"" in an original sentence that shows it means ""to examine the parts of something to understand it""."
2026-05-01,Compare,verb,kuhm-PAIR,easy,to note how two things are alike,Compare is a verb meaning to note how two things are alike. Use it when that meaning is exactly what you need in writing or speech.,Compare the two headlines and list three shared words.,Compare looks for likeness.,"What does ""compare"" mean?",To note how two things are alike.,"Give students 60 seconds to use ""compare"" in an original sentence that shows it means ""to note how two things are alike""."
2026-05-02,Grandiose,adjective,gran-di-OSE,medium,"impressive in size or scope, sometimes excessively","Grandiose is an adjective meaning impressive in size or scope, sometimes excessively. Use it when that meaning is exactly what you need in writing or speech.",His grandiose plans for the park never got funded.,from grand — great,"What does ""grandiose"" mean?","Impressive in size or scope, sometimes excessively.","Give students 60 seconds to use ""grandiose"" in an original sentence that shows it means ""impressive in size or scope, sometimes excessively""."
2026-05-03,Gregarious,adjective,gre-gar-i-OUS,medium,enjoying being around other people,Gregarious is an adjective meaning enjoying being around other people. Use it when that meaning is exactly what you need in writing or speech.,Her gregarious nature made her a natural at the conference.,from grex — flock,"What does ""gregarious"" mean?",Enjoying being around other people.,"Give students 60 seconds to use ""gregarious"" in an original sentence that shows it means ""enjoying being around other people""."
2026-05-04,Clandestine,adjective,clan-des-TINE,hard,"kept secret, often for improper reasons","Clandestine is an adjective meaning kept secret, often for improper reasons. Use it when that meaning is exactly what you need in writing or speech.",They held clandestine meetings in an abandoned warehouse.,from clam — secretly,"What does ""clandestine"" mean?","Kept secret, often for improper reasons.","Give students 60 seconds to use ""clandestine"" in an original sentence that shows it means ""kept secret, often for improper reasons""."
2026-05-05,Guile,noun,GUILE,medium,clever and deceitful behavior,Guile is a noun meaning clever and deceitful behavior. Use it when that meaning is exactly what you need in writing or speech.,"He won the deal through pure guile, not skill.",from Old French guile — deception,"What does ""guile"" mean?",Clever and deceitful behavior.,"Give students 60 seconds to use ""guile"" in an original sentence that shows it means ""clever and deceitful behavior""."
2026-05-06,Contrast,verb,kuhn-TRAST,easy,to note how two things are different,Contrast is a verb meaning to note how two things are different. Use it when that meaning is exactly what you need in writing or speech.,Contrast the first ending with the revised ending.,Contrast looks for difference.,"What does ""contrast"" mean?",To note how two things are different.,"Give students 60 seconds to use ""contrast"" in an original sentence that shows it means ""to note how two things are different""."
2026-05-07,Haughty,adjective,haugh-TY,medium,acting proud and looking down on others,Haughty is an adjective meaning acting proud and looking down on others. Use it when that meaning is exactly what you need in writing or speech.,Her haughty tone offended the new interns.,from haut — high,"What does ""haughty"" mean?",Acting proud and looking down on others.,"Give students 60 seconds to use ""haughty"" in an original sentence that shows it means ""acting proud and looking down on others""."
2026-05-08,Coalesce,verb,co-a-LESCE,hard,to come together to form one group or mass,Coalesce is a verb meaning to come together to form one group or mass. Use it when that meaning is exactly what you need in writing or speech.,The protesters began to coalesce around a single demand.,from coalescere — to grow together,"What does ""coalesce"" mean?",To come together to form one group or mass.,"Give students 60 seconds to use ""coalesce"" in an original sentence that shows it means ""to come together to form one group or mass""."
2026-05-09,Heinous,adjective,hei-NOUS,medium,shockingly wicked,Heinous is an adjective meaning shockingly wicked. Use it when that meaning is exactly what you need in writing or speech.,The crime was so heinous it shocked even seasoned investigators.,from haine — hate,"What does ""heinous"" mean?",Shockingly wicked.,"Give students 60 seconds to use ""heinous"" in an original sentence that shows it means ""shockingly wicked""."
2026-05-10,Describe,verb,di-SKRIBE,easy,to say what something is like in words,Describe is a verb meaning to say what something is like in words. Use it when that meaning is exactly what you need in writing or speech.,Describe the setting in three precise details from the page.,Describe means show it in words.,"What does ""describe"" mean?",To say what something is like in words.,"Give students 60 seconds to use ""describe"" in an original sentence that shows it means ""to say what something is like in words""."
2026-05-11,Explain,verb,ik-SPLAYN,easy,to make an idea clear by giving reasons,Explain is a verb meaning to make an idea clear by giving reasons. Use it when that meaning is exactly what you need in writing or speech.,"After the quote, explain how it supports your claim.",Explain means answer why or how.,"What does ""explain"" mean?",To make an idea clear by giving reasons.,"Give students 60 seconds to use ""explain"" in an original sentence that shows it means ""to make an idea clear by giving reasons""."
2026-05-12,Hyperbole,noun,hy-per-bo-LE,medium,obvious exaggeration used for effect,Hyperbole is a noun meaning obvious exaggeration used for effect. Use it when that meaning is exactly what you need in writing or speech.,"Saying he ate a ton of food is hyperbole, not a fact.",from hyperballein — to throw beyond,"What does ""hyperbole"" mean?",Obvious exaggeration used for effect.,"Give students 60 seconds to use ""hyperbole"" in an original sentence that shows it means ""obvious exaggeration used for effect""."
2026-05-13,Inane,adjective,in-ANE,medium,silly or empty of meaning,Inane is an adjective meaning silly or empty of meaning. Use it when that meaning is exactly what you need in writing or speech.,The chat devolved into inane gossip.,from inanis — empty,"What does ""inane"" mean?",Silly or empty of meaning.,"Give students 60 seconds to use ""inane"" in an original sentence that shows it means ""silly or empty of meaning""."
2026-05-14,Cogent,adjective,co-GENT,hard,"clear, logical, and convincing","Cogent is an adjective meaning clear, logical, and convincing. Use it when that meaning is exactly what you need in writing or speech.",She made a cogent argument for cutting the program.,from cogere — to compel,"What does ""cogent"" mean?","Clear, logical, and convincing.","Give students 60 seconds to use ""cogent"" in an original sentence that shows it means ""clear, logical, and convincing""."
2026-05-15,Inept,adjective,in-EPT,medium,clumsy or lacking skill,Inept is an adjective meaning clumsy or lacking skill. Use it when that meaning is exactly what you need in writing or speech.,His inept handling of the meeting embarrassed the team.,from in- + aptus — not apt,"What does ""inept"" mean?",Clumsy or lacking skill.,"Give students 60 seconds to use ""inept"" in an original sentence that shows it means ""clumsy or lacking skill""."
2026-05-16,Summarize,verb,SUHM-uh-rize,easy,to retell only the main points,Summarize is a verb meaning to retell only the main points. Use it when that meaning is exactly what you need in writing or speech.,Summarize the article in four sentences without copying a line.,Summarize is the short version.,"What does ""summarize"" mean?",To retell only the main points.,"Give students 60 seconds to use ""summarize"" in an original sentence that shows it means ""to retell only the main points""."
2026-05-17,Jovial,adjective,jo-vi-AL,medium,cheerful and friendly,Jovial is an adjective meaning cheerful and friendly. Use it when that meaning is exactly what you need in writing or speech.,Their jovial host kept the party laughing.,from Jovialis — of Jupiter,"What does ""jovial"" mean?",Cheerful and friendly.,"Give students 60 seconds to use ""jovial"" in an original sentence that shows it means ""cheerful and friendly""."
2026-05-18,Commensurate,adjective,com-men-su-RATE,hard,"matching in size, degree, or importance","Commensurate is an adjective meaning matching in size, degree, or importance. Use it when that meaning is exactly what you need in writing or speech.",His pay was commensurate with his years of experience.,from commensurare — to measure together,"What does ""commensurate"" mean?","Matching in size, degree, or importance.","Give students 60 seconds to use ""commensurate"" in an original sentence that shows it means ""matching in size, degree, or importance""."
2026-05-19,Judicious,adjective,ju-di-CIOUS,medium,showing good judgment,Judicious is an adjective meaning showing good judgment. Use it when that meaning is exactly what you need in writing or speech.,He made judicious use of the limited budget.,from judicium — judgment,"What does ""judicious"" mean?",Showing good judgment.,"Give students 60 seconds to use ""judicious"" in an original sentence that shows it means ""showing good judgment""."
2026-05-20,Evaluate,verb,ih-VAL-yoo-ayt,easy,to judge the quality or value of something,Evaluate is a verb meaning to judge the quality or value of something. Use it when that meaning is exactly what you need in writing or speech.,"Evaluate the website by checking the author, date, and evidence.",Evaluate means judge with reasons.,"What does ""evaluate"" mean?",To judge the quality or value of something.,"Give students 60 seconds to use ""evaluate"" in an original sentence that shows it means ""to judge the quality or value of something""."
2026-05-21,Identify,verb,eye-DEN-tuh-fye,easy,to recognize and name something,Identify is a verb meaning to recognize and name something. Use it when that meaning is exactly what you need in writing or speech.,Identify the claim in the first paragraph before you argue with it.,Identify means find it and name it.,"What does ""identify"" mean?",To recognize and name something.,"Give students 60 seconds to use ""identify"" in an original sentence that shows it means ""to recognize and name something""."
2026-05-22,Juxtapose,verb,jux-ta-POSE,medium,to place side by side for comparison,Juxtapose is a verb meaning to place side by side for comparison. Use it when that meaning is exactly what you need in writing or speech.,The exhibit juxtaposes ancient and modern sculpture.,from juxta + ponere — to place near,"What does ""juxtapose"" mean?",To place side by side for comparison.,"Give students 60 seconds to use ""juxtapose"" in an original sentence that shows it means ""to place side by side for comparison""."
2026-05-23,Languid,adjective,lan-GUID,medium,slow and relaxed in a tired way,Languid is an adjective meaning slow and relaxed in a tired way. Use it when that meaning is exactly what you need in writing or speech.,They spent a languid Sunday by the lake.,from languere — to be weary,"What does ""languid"" mean?",Slow and relaxed in a tired way.,"Give students 60 seconds to use ""languid"" in an original sentence that shows it means ""slow and relaxed in a tired way""."
2026-05-24,Conciliatory,adjective,con-cil-i-a-to-RY,hard,meant to calm anger or end disagreement,Conciliatory is an adjective meaning meant to calm anger or end disagreement. Use it when that meaning is exactly what you need in writing or speech.,She struck a conciliatory tone after the heated argument.,from conciliare — to bring together,"What does ""conciliatory"" mean?",Meant to calm anger or end disagreement.,"Give students 60 seconds to use ""conciliatory"" in an original sentence that shows it means ""meant to calm anger or end disagreement""."
2026-05-25,Latent,adjective,la-TENT,medium,present but not yet active or visible,Latent is an adjective meaning present but not yet active or visible. Use it when that meaning is exactly what you need in writing or speech.,She had a latent talent for design that emerged in college.,from latere — to lie hidden,"What does ""latent"" mean?",Present but not yet active or visible.,"Give students 60 seconds to use ""latent"" in an original sentence that shows it means ""present but not yet active or visible""."
2026-05-26,Interpret,verb,in-TUR-prit,easy,to explain the meaning of something,Interpret is a verb meaning to explain the meaning of something. Use it when that meaning is exactly what you need in writing or speech.,Interpret the cartoon by saying what each symbol stands for.,Interpret means say what it means.,"What does ""interpret"" mean?",To explain the meaning of something.,"Give students 60 seconds to use ""interpret"" in an original sentence that shows it means ""to explain the meaning of something""."
2026-05-27,Laud,verb,LAUD,medium,to praise highly,Laud is a verb meaning to praise highly. Use it when that meaning is exactly what you need in writing or speech.,Critics lauded the novel for its careful research.,from laudare — to praise,"What does ""laud"" mean?",To praise highly.,"Give students 60 seconds to use ""laud"" in an original sentence that shows it means ""to praise highly""."
2026-05-28,Connoisseur,noun,con-nois-SEUR,hard,an expert judge of taste in a field,Connoisseur is a noun meaning an expert judge of taste in a field. Use it when that meaning is exactly what you need in writing or speech.,"As a wine connoisseur, she detected flaws others missed.",from connaitre — to know,"What does ""connoisseur"" mean?",An expert judge of taste in a field.,"Give students 60 seconds to use ""connoisseur"" in an original sentence that shows it means ""an expert judge of taste in a field""."
2026-05-29,Lethargic,adjective,le-thar-GIC,medium,sluggish and lacking energy,Lethargic is an adjective meaning sluggish and lacking energy. Use it when that meaning is exactly what you need in writing or speech.,The hot weather left the whole team lethargic.,from lethargos — forgetful,"What does ""lethargic"" mean?",Sluggish and lacking energy.,"Give students 60 seconds to use ""lethargic"" in an original sentence that shows it means ""sluggish and lacking energy""."
2026-05-30,Evidence,noun,EV-i-duhns,easy,facts or details that support a claim,Evidence is a noun meaning facts or details that support a claim. Use it when that meaning is exactly what you need in writing or speech.,"A date, a quote, and a statistic can all count as evidence.",Evidence is proof you can point to.,"What does ""evidence"" mean?",Facts or details that support a claim.,"Give students 60 seconds to use ""evidence"" in an original sentence that shows it means ""facts or details that support a claim""."
2026-05-31,Claim,noun,KLAYM,easy,"a statement that something is true, needing support","Claim is a noun meaning a statement that something is true, needing support. Use it when that meaning is exactly what you need in writing or speech.",Your claim should be a sentence a reader could disagree with.,A claim is the point you will prove.,"What does ""claim"" mean?","A statement that something is true, needing support.","Give students 60 seconds to use ""claim"" in an original sentence that shows it means ""a statement that something is true, needing support""."
2026-06-01,Linchpin,noun,linch-PIN,medium,the most important part that holds things together,Linchpin is a noun meaning the most important part that holds things together. Use it when that meaning is exactly what you need in writing or speech.,The captain was the linchpin of their winning season.,from lynspin — wheel-axle pin,"What does ""linchpin"" mean?",The most important part that holds things together.,"Give students 60 seconds to use ""linchpin"" in an original sentence that shows it means ""the most important part that holds things together""."
2026-06-02,Malevolent,adjective,ma-lev-o-LENT,medium,wishing harm to others,Malevolent is an adjective meaning wishing harm to others. Use it when that meaning is exactly what you need in writing or speech.,The villain's malevolent grin chilled the audience.,from male + velle — ill wishing,"What does ""malevolent"" mean?",Wishing harm to others.,"Give students 60 seconds to use ""malevolent"" in an original sentence that shows it means ""wishing harm to others""."
2026-06-03,Convivial,adjective,con-viv-i-AL,hard,"friendly and lively, especially in social settings","Convivial is an adjective meaning friendly and lively, especially in social settings. Use it when that meaning is exactly what you need in writing or speech.",The dinner had a convivial atmosphere that lasted past midnight.,from convivium — feast,"What does ""convivial"" mean?","Friendly and lively, especially in social settings.","Give students 60 seconds to use ""convivial"" in an original sentence that shows it means ""friendly and lively, especially in social settings""."
2026-06-04,Malign,verb,ma-LIGN,medium,to speak badly about someone unfairly,Malign is a verb meaning to speak badly about someone unfairly. Use it when that meaning is exactly what you need in writing or speech.,Reporters refused to malign him without proof.,from malignus — wicked,"What does ""malign"" mean?",To speak badly about someone unfairly.,"Give students 60 seconds to use ""malign"" in an original sentence that shows it means ""to speak badly about someone unfairly""."
2026-06-05,Context,noun,KON-tekst,easy,the situation or words around something that help explain it,Context is a noun meaning the situation or words around something that help explain it. Use it when that meaning is exactly what you need in writing or speech.,Give the context of the quote so readers know who is speaking.,Context is the surrounding picture.,"What does ""context"" mean?",The situation or words around something that help explain it.,"Give students 60 seconds to use ""context"" in an original sentence that shows it means ""the situation or words around something that help explain it""."
2026-06-06,Mitigate,verb,mit-i-GATE,medium,to make less severe,Mitigate is a verb meaning to make less severe. Use it when that meaning is exactly what you need in writing or speech.,Sandbags helped mitigate flood damage.,from mitigare — to soften,"What does ""mitigate"" mean?",To make less severe.,"Give students 60 seconds to use ""mitigate"" in an original sentence that shows it means ""to make less severe""."
2026-06-07,Credulous,adjective,cred-u-LOUS,hard,too willing to believe things without proof,Credulous is an adjective meaning too willing to believe things without proof. Use it when that meaning is exactly what you need in writing or speech.,Credulous voters fell for the obvious misinformation.,from credere — to believe,"What does ""credulous"" mean?",Too willing to believe things without proof.,"Give students 60 seconds to use ""credulous"" in an original sentence that shows it means ""too willing to believe things without proof""."
2026-06-08,Morose,adjective,mo-ROSE,medium,gloomy and silent,Morose is an adjective meaning gloomy and silent. Use it when that meaning is exactly what you need in writing or speech.,He grew morose after losing the championship match.,from morosus — peevish,"What does ""morose"" mean?",Gloomy and silent.,"Give students 60 seconds to use ""morose"" in an original sentence that shows it means ""gloomy and silent""."
2026-06-09,Purpose,noun,PUR-puhs,easy,the reason something is done or written,Purpose is a noun meaning the reason something is done or written. Use it when that meaning is exactly what you need in writing or speech.,Ask what the author's purpose is before you judge the tone.,Purpose is the why.,"What does ""purpose"" mean?",The reason something is done or written.,"Give students 60 seconds to use ""purpose"" in an original sentence that shows it means ""the reason something is done or written""."
2026-06-10,Audience,noun,AW-dee-uhns,easy,the people a writer or speaker is trying to reach,Audience is a noun meaning the people a writer or speaker is trying to reach. Use it when that meaning is exactly what you need in writing or speech.,"Change the examples if your audience is fifth graders, not seniors.",Audience is who it is for.,"What does ""audience"" mean?",The people a writer or speaker is trying to reach.,"Give students 60 seconds to use ""audience"" in an original sentence that shows it means ""the people a writer or speaker is trying to reach""."
2026-06-11,Myriad,noun,myr-i-AD,medium,a very large number,Myriad is a noun meaning a very large number. Use it when that meaning is exactly what you need in writing or speech.,There are a myriad of reasons to learn a second language.,from myrias — ten thousand,"What does ""myriad"" mean?",A very large number.,"Give students 60 seconds to use ""myriad"" in an original sentence that shows it means ""a very large number""."
2026-06-12,Nominal,adjective,nom-i-NAL,medium,in name only; very small in amount,Nominal is an adjective meaning in name only; very small in amount. Use it when that meaning is exactly what you need in writing or speech.,They paid a nominal fee for the membership.,from nomen — name,"What does ""nominal"" mean?",In name only; very small in amount.,"Give students 60 seconds to use ""nominal"" in an original sentence that shows it means ""in name only; very small in amount""."
2026-06-13,Culpable,adjective,cul-pa-BLE,hard,deserving blame,Culpable is an adjective meaning deserving blame. Use it when that meaning is exactly what you need in writing or speech.,The court found the company culpable for the data leak.,from culpa — fault,"What does ""culpable"" mean?",Deserving blame.,"Give students 60 seconds to use ""culpable"" in an original sentence that shows it means ""deserving blame""."
2026-06-14,Noxious,adjective,nox-IOUS,medium,harmful or poisonous,Noxious is an adjective meaning harmful or poisonous. Use it when that meaning is exactly what you need in writing or speech.,The factory released noxious fumes into the river valley.,from noxa — harm,"What does ""noxious"" mean?",Harmful or poisonous.,"Give students 60 seconds to use ""noxious"" in an original sentence that shows it means ""harmful or poisonous""."
2026-06-15,Revise,verb,ri-VIZE,easy,to change a draft in order to improve it,Revise is a verb meaning to change a draft in order to improve it. Use it when that meaning is exactly what you need in writing or speech.,Revise the introduction so the thesis appears by the end of paragraph one.,"Revise means make it better, not just neater.","What does ""revise"" mean?",To change a draft in order to improve it.,"Give students 60 seconds to use ""revise"" in an original sentence that shows it means ""to change a draft in order to improve it""."
2026-06-16,Obstinate,adjective,ob-sti-NATE,medium,refusing to change one's mind,Obstinate is an adjective meaning refusing to change one's mind. Use it when that meaning is exactly what you need in writing or speech.,The obstinate child refused to wear a coat.,from obstinare — to persist,"What does ""obstinate"" mean?",Refusing to change one's mind.,"Give students 60 seconds to use ""obstinate"" in an original sentence that shows it means ""refusing to change one's mind""."
2026-06-17,Cursory,adjective,cur-so-RY,hard,done quickly without attention to detail,Cursory is an adjective meaning done quickly without attention to detail. Use it when that meaning is exactly what you need in writing or speech.,He gave the report only a cursory glance before signing.,from currere — to run,"What does ""cursory"" mean?",Done quickly without attention to detail.,"Give students 60 seconds to use ""cursory"" in an original sentence that shows it means ""done quickly without attention to detail""."
